state,EV_2020,EV_2024,URL,2024 hp,,2020 hp
Alabama,9,9,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Alabama,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Alabama,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Alabama,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Alabama
Alaska,3,3,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Alaska,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Alaska,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Alaska,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Alaska
Arizona,11,11,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Arizona,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Arizona,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Arizona,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Arizona
Arkansas,6,6,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Arkansas,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Arkansas,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Arkansas,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Arkansas
California,55,54,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_California,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_California,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_California,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_California
Colorado,9,10,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Colorado,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Colorado,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Colorado,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Colorado
Connecticut,7,7,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Connecticut,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Connecticut,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Connecticut,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Connecticut
Delaware,3,3,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Delaware,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Delaware,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Delaware,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Delaware
District_of_Columbia,3,3,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_the_District_of_Columbia,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_the_District_of_Columbia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_District_of_Columbia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_District_of_Columbia
Florida,29,30,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Florida,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Florida,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Florida,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Florida
Georgia,16,16,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Georgia,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Georgia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Georgia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Georgia
Hawaii,4,4,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Hawaii,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Hawaii,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Hawaii,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Hawaii
Idaho,4,4,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Idaho,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Idaho,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Idaho,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Idaho
Illinois,20,19,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Illinois,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Illinois,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Illinois,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Illinois
Indiana,11,11,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Indiana,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Indiana,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Indiana,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Indiana
Iowa,6,6,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Iowa,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Iowa,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Iowa,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Iowa
Kansas,6,6,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Kansas,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Kansas,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Kansas,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Kansas
Kentucky,8,8,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Kentucky,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Kentucky,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Kentucky,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Kentucky
Louisiana,8,8,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Louisiana,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Louisiana,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Louisiana,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Louisiana
Maine,4,4,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Maine,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Maine,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Maine,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Maine
Maryland,10,10,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Maryland,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Maryland,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Maryland,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Maryland
Massachusetts,11,11,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Massachusetts,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Massachusetts,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Massachusetts,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Massachusetts
Michigan,16,15,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Michigan,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Michigan,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Michigan,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Michigan
Minnesota,10,10,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Minnesota,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Minnesota,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Minnesota,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Minnesota
Mississippi,6,6,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Mississippi,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Mississippi,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Mississippi,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Mississippi
Missouri,10,10,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Missouri,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Missouri,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Missouri,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Missouri
Montana,3,4,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Montana,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Montana,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Montana,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Montana
Nebraska,5,5,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Nebraska,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Nebraska,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Nebraska,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Nebraska
Nevada,6,6,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Nevada,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Nevada,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Nevada,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Nevada
New_Hampshire,4,4,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_Hampshire,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_Hampshire,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_Hampshire,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_Hampshire
New_Jersey,14,14,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_Jersey,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_Jersey,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_Jersey,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_Jersey
New_Mexico,5,5,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_Mexico,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_Mexico,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_Mexico,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_Mexico
New_York,29,28,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_York,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_New_York,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_York,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_New_York
North_Carolina,15,16,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_North_Carolina,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_North_Carolina,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_North_Carolina,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_North_Carolina
North_Dakota,3,3,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_North_Dakota,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_North_Dakota,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_North_Dakota,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_North_Dakota
Ohio,18,17,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Ohio,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Ohio,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Ohio,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Ohio
Oklahoma,7,7,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Oklahoma,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Oklahoma,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Oklahoma,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Oklahoma
Oregon,7,8,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Oregon,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Oregon,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Oregon,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Oregon
Pennsylvania,20,19,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Pennsylvania,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Pennsylvania,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Pennsylvania,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Pennsylvania
Rhode_Island,4,4,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Rhode_Island,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Rhode_Island,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Rhode_Island,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Rhode_Island
South_Carolina,9,9,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_South_Carolina,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_South_Carolina,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_South_Carolina,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_South_Carolina
South_Dakota,3,3,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_South_Dakota,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_South_Dakota,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_South_Dakota,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_South_Dakota
Tennessee,11,11,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Tennessee,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Tennessee,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Tennessee,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Tennessee
Texas,38,40,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Texas,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Texas,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Texas,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Texas
Utah,6,6,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Utah,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Utah,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Utah,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Utah
Vermont,3,3,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Vermont,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Vermont,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Vermont,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Vermont
Virginia,13,13,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Virginia,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Virginia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Virginia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Virginia
Washington,12,12,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Washington_(state),https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Washington_(state),https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Washington,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Washington
West_Virginia,5,4,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_West_Virginia,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_West_Virginia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_West_Virginia,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_West_Virginia
Wisconsin,10,10,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Wisconsin,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Wisconsin,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Wisconsin,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Wisconsin
Wyoming,3,3,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Wyoming,https://en.wikipedia.org/wiki/2024_United_States_presidential_election_in_Wyoming,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Wyoming,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Wyoming
